2026-01-28 00:31:20 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 'dict' object has no attribute 'spot_rate'
2026-01-28 00:31:20 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 'dict' object has no attribute 'spot_rate'
2026-01-28 00:31:20 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 'dict' object has no attribute 'spot_rate'
2026-01-28 00:32:50 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:32:52 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:33:03 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:33:05 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:33:30 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:33:32 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:33:51 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:33:53 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:33:53 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:33:54 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:34:50 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:34:52 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:38:35 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:38:37 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:38:39 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:38:41 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:39:01 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:02 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:03 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:03 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:03 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:03 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:03 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:03 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:04 | ERROR | app.European_option_price_calculator.services:calculate_option_price:34 - Error calculating option price: 400: Invalid option input
2026-01-28 00:39:10 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:39:12 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:40:24 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:40:28 | INFO | main:lifespan:12 - 应用启动中...
